id,name,symbol,ipoyear,sector,industry,exchange_id,created,modified
8,"1347 Property Insurance Holdings, Inc.",PIH,2014,Finance,"Property-Casualty Insurers",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
9,"180 Degree Capital Corp.",TURN,0,Finance,"Finance/Investors Services",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
10,"1-800 FLOWERS.COM, Inc.",FLWS,1999,"Consumer Services","Other Specialty Stores",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
11,"1st Constitution Bancorp (NJ)",FCCY,0,Finance,"Savings Institutions",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
12,"1st Source Corporation",SRCE,0,Finance,"Major Banks",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
13,"21Vianet Group, Inc.",VNET,2011,Technology,"Computer Software: Programming, Data Processing",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
14,"2U, Inc.",TWOU,2014,Technology,"Computer Software: Prepackaged Software",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
15,"51job, Inc.",JOBS,2004,Technology,"Diversified Commercial Services",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
16,"8point3 Energy Partners LP",CAFD,2015,"Public Utilities","Electric Utilities: Central",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
17,"8x8 Inc",EGHT,0,"Public Utilities","Telecommunications Equipment",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
18,"A V Homes, Inc.",AVHI,0,"Capital Goods",Homebuilding,1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
19,"A. Schulman, Inc.",SHLM,1972,"Basic Industries","Major Chemicals",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
20,"AAON, Inc.",AAON,0,"Capital Goods","Industrial Machinery/Components",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
21,"ABAXIS, Inc.",ABAX,1992,"Capital Goods","Industrial Machinery/Components",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
22,"Abeona Therapeutics Inc.",ABEO,0,"Health Care","Major Pharmaceuticals",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
23,"Abeona Therapeutics Inc.",ABEOW,0,"Health Care","Major Pharmaceuticals",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
24,"Ability Inc.",ABIL,2014,Finance,"Business Services",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
25,"ABIOMED, Inc.",ABMD,0,"Health Care","Medical/Dental Instruments",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
26,"Abraxas Petroleum Corporation",AXAS,0,Energy,"Oil & Gas Production",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
27,"AC Immune SA",ACIU,2016,"Health Care","Major Pharmaceuticals",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
28,"Acacia Communications, Inc.",ACIA,2016,Technology,Semiconductors,1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
29,"Acacia Research Corporation",ACTG,0,Miscellaneous,"Multi-Sector Companies",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
30,"Acadia Healthcare Company, Inc.",ACHC,0,"Health Care","Medical Specialities",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
31,"ACADIA Pharmaceuticals Inc.",ACAD,2004,"Health Care","Major Pharmaceuticals",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
32,"Acasti Pharma, Inc.",ACST,0,"Health Care","Major Pharmaceuticals",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
33,"Accelerate Diagnostics, Inc.",AXDX,0,"Capital Goods","Biotechnology: Laboratory Analytical Instruments",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
34,"Accelerated Pharma, Inc.",ACCP,0,n/a,n/a,1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
35,"Acceleron Pharma Inc.",XLRN,2013,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",1,"9/15/17, 11:19 PM","9/15/17, 11:19 PM"
