SYMBOL_CODE,SYMBOL_NAME,TRADE_DATE,SECTOR_NAME,MARKET,HIGH_PRICE_52_WEEK,HIGH_PRICE_52_IND,LOW_PRICE_52_WEEK,LOW_PRICE_52_IND,DAYS_HIGH_PRICE,DAYS_LOW_PRICE,CLOSE_PRICE,CLOSE_NET_CHANGE,CLOSE_PERCENT_CHANGE,LAST_TRADED_PRICE,BID_PRICE,ASK_PRICE,TOTAL_TRADED_VOLUME,TRADE_VALUE,NUM_OF_TRADES,MARKET_CAP,TOTALISSUEDSHARES,PRE_DIVIDEND_AMOUNT,PRE_DIV_CURR,DIVIDEND_AMOUNT,DIV_CURR
AFS,Access Financial Services Limited,10/27/2017,FINANCE,Junior Market,52.000000,,20.060000,,42.500000,42.500000,42.500000,0.500000,1.190476,42.500000,42.500000,0.000000,2800.000000,119000.000000,1,274509840.000000,11666668200.000000,0.640000,JMD,0.700000,JMD
BIL,Barita Investments Limited,10/27/2017,FINANCE,Main Market,12.000000,,4.000000,,9.000000,9.000000,9.000000,0.550000,6.508876,9.000000,8.600000,9.000000,730.000000,6570.000000,1,445876824.000000,4012891416.000000,0.110000,JMD,0.110000,JMD
BRG,Berger Paints Jamaica Ltd.,10/27/2017,MANUFACTURING,Main Market,24.000000,,5.000000,,17.000000,16.000000,16.370000,0.100000,0.614628,17.000000,17.000000,17.500000,90738.000000,1485511.750000,16,214322393.000000,3508457573.410000,0.200000,JMD,0.500000,JMD
BPOW,Blue Power Group Limited,10/27/2017,MANUFACTURING,Junior Market,57.600000,,20.200000,,49.000000,49.000000,49.000000,4.000000,8.888889,49.000000,44.100000,49.000000,387.000000,18963.000000,1,56499000.000000,2768451000.000000,0.170000,JMD,0.190000,JMD
CWJ,Cable & Wireless Jamaica Limited,10/27/2017,COMMUNICATIONS,Main Market,1.800000,,0.650000,,1.060000,1.020000,1.050000,0.030000,2.941176,1.060000,1.080000,1.090000,539939.000000,566640.530000,7,8788235294.000000,9227647058.700000,,,,
CHL,Cargo Handlers Limited,10/27/2017,OTHER,Junior Market,30.000000,,9.500000,,11.090000,11.090000,11.090000,0.080000,0.726612,11.090000,10.820000,11.090000,1015.000000,11256.350000,1,416250000.000000,4616212500.000000,2.650000,JMD,0.245000,JMD
CCC,Caribbean Cement Company Ltd.,10/27/2017,MANUFACTURING,Main Market,40.000000,*,18.000000,,40.000000,35.000000,36.930000,3.980000,12.078907,36.100000,36.100000,38.000000,22557.000000,833083.850000,12,851136591.000000,31432474305.630000,,,,
CAR,Carreras Limited,10/27/2017,RETAIL,Main Market,14.000000,,6.000000,,13.000000,11.500000,12.360000,0.340000,2.828619,11.500000,11.400000,11.500000,129369.000000,1599402.140000,26,4854400000.000000,60000384000.000000,6.700000,JMD,5.800000,JMD
CBNY,Ciboney Group Limited,10/27/2017,TOURISM,Main Market,0.260000,,0.150000,,0.190000,0.150000,0.160000,-0.020000,-11.111111,0.150000,0.150000,0.190000,10600.000000,1734.000000,3,546000000.000000,87360000.000000,,,,
DCOVE,Dolphin Cove Limited,10/27/2017,TOURISM,Junior Market,22.500000,,12.210000,,0.000000,0.000000,17.430000,0.000000,0.000000,17.000000,15.000000,19.750000,0.000000,0.000000,0,392426376.000000,6839991733.680000,0.600000,JMD,0.600000,JMD
1834,1834 Investments Limited,10/27/2017,COMMUNICATIONS,Main Market,2.270000,,1.150000,,1.400000,1.370000,1.370000,-0.030000,-2.142857,1.370000,1.370000,1.400000,22200.000000,30480.000000,3,1211243827.000000,1659404042.990000,0.120000,JMD,0.080000,JMD
GK,GraceKennedy Limited,10/27/2017,CONGLOMERATES,Main Market,46.500000,,35.000000,,43.000000,42.760000,42.840000,-0.260000,-0.603248,42.830000,42.830000,43.000000,6745.000000,288929.760000,8,994886892.000000,42620954453.280000,1.540000,JMD,0.680000,JMD
HONBUN,Honey Bun (1982) Limited,10/27/2017,MANUFACTURING,Junior Market,8.800000,,3.000000,,5.000000,4.350000,4.800000,-0.200000,-4.000000,4.900000,4.350000,4.900000,4891.000000,23453.400000,3,471266950.000000,2262081360.000000,0.130000,JMD,0.040000,JMD
JBG,Jamaica Broilers Group,10/27/2017,MANUFACTURING,Main Market,20.000000,,13.750000,,18.500000,18.050000,18.410000,0.400000,2.220988,18.060000,18.060000,18.500000,7883.000000,145116.910000,5,1199276400.000000,22078678524.000000,0.330000,JMD,0.350000,JMD
JP,Jamaica Producers Group Ltd.,10/27/2017,CONGLOMERATES,Main Market,22.000000,,7.500000,,16.000000,16.000000,16.000000,0.000000,0.000000,16.000000,15.700000,16.000000,2637.000000,42192.000000,3,1122144036.000000,17954304576.000000,0.400000,JMD,0.120000,JMD
JPS5C,Jamaica Public Service 5% C,10/27/2017,OTHER,Main Market,0.380000,,0.380000,,0.000000,0.000000,0.380000,0.000000,0.000000,0.380000,0.000000,0.000000,0.000000,0.000000,0,66500.000000,25270.000000,0.100000,JMD,0.075000,JMD
JPS5D,Jamaica Public Service 5% D,10/27/2017,OTHER,Main Market,0.380000,,0.380000,,0.000000,0.000000,0.380000,0.000000,0.000000,0.380000,0.400000,0.000000,0.000000,0.000000,0,680000.000000,258400.000000,0.100000,JMD,0.075000,JMD
JPS6,Jamaica Public Service Co. 6%,10/27/2017,OTHER,Main Market,0.440000,,0.440000,,0.000000,0.000000,0.440000,0.000000,0.000000,0.440000,0.000000,0.000000,0.000000,0.000000,0,300000.000000,132000.000000,0.120000,JMD,0.090000,JMD
JPS7,Jamaica Public Service Co. Ltd. 7%,10/27/2017,OTHER,Main Market,0.480000,,0.450000,,0.000000,0.000000,0.480000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0,420000.000000,201600.000000,0.140000,JMD,0.105000,JMD
JAMT,Jamaican Teas Limited,10/27/2017,MANUFACTURING,Junior Market,5.600000,,1.950000,,4.200000,4.100000,4.120000,0.020000,0.487805,4.100000,4.100000,4.250000,5100.000000,21010.000000,3,682033460.000000,2809977855.200000,,,,
KPREIT,Kingston Properties Limited,10/27/2017,OTHER,Main Market,16.000000,,4.025000,,8.000000,8.000000,8.000000,0.800000,11.111111,8.000000,8.000000,8.500000,1244.000000,9952.000000,1,321992668.000000,2575941344.000000,0.002400,USD,,USD
KW,Kingston Wharves Limited,10/27/2017,OTHER,Main Market,34.000000,,16.800000,,33.000000,32.500000,32.540000,-0.100000,-0.306373,33.000000,32.500000,33.000000,20949.000000,681644.130000,3,1430199578.000000,46538694268.120000,0.290000,JMD,0.370000,JMD
LASD,Lasco Distributors Limited,10/27/2017,RETAIL,Junior Market,7.960000,,5.900000,,7.200000,6.900000,6.940000,0.060000,0.872093,7.200000,7.160000,7.200000,11850.000000,82185.000000,5,3470106148.000000,24082536667.120000,0.053000,JMD,0.045000,JMD
LASF,Lasco Financial Services Limited,10/27/2017,FINANCE,Junior Market,5.290000,,2.770000,,4.400000,4.360000,4.400000,0.050000,1.149425,4.360000,4.360000,4.400000,51742.000000,227510.800000,11,1257844391.000000,5534515320.400000,0.035000,JMD,0.040000,JMD
LASM,Lasco Manufacturing Limited,10/27/2017,MANUFACTURING,Junior Market,6.250000,,3.300000,,4.750000,4.500000,4.570000,0.440000,10.653753,4.500000,4.200000,4.500000,14800.000000,67625.000000,3,4090630170.000000,18694179876.900000,0.030000,JMD,0.035000,JMD
MIL,Mayberry Investments Limited,10/27/2017,FINANCE,Main Market,6.390000,,3.650000,,4.370000,4.270000,4.280000,-0.090000,-2.059497,4.300000,4.280000,4.990000,2993.000000,12817.710000,3,1201149291.000000,5140918965.480000,0.220000,JMD,0.230000,JMD
PAL,Palace Amusement Co. Ltd.,10/27/2017,OTHER,Main Market,550.000000,,200.000000,,0.000000,0.000000,550.000000,0.000000,0.000000,550.000000,125.000000,560.000000,0.000000,0.000000,0,1437028.000000,790365400.000000,1.750000,JMD,1.000000,JMD
PJAM,PanJam Investment Limited,10/27/2017,CONGLOMERATES,Main Market,45.000000,,22.500000,,44.000000,42.010000,42.010000,0.010000,0.023810,42.010000,42.000000,44.000000,250435.000000,10521640.000000,4,1066159890.000000,44789376978.900000,1.850000,JMD,0.800000,JMD
PULS,Pulse Investments Limited,10/27/2017,OTHER,Main Market,16.200000,,0.500000,,1.900000,1.900000,1.900000,0.100000,5.555556,1.900000,1.700000,1.850000,34000.000000,64600.000000,2,1630738044.000000,3098402283.600000,,,0.080000,
RJR,Radio Jamaica Limited,10/27/2017,COMMUNICATIONS,Main Market,2.000000,,1.040000,,1.150000,1.150000,1.150000,0.010000,0.877193,1.150000,1.130000,1.150000,123400.000000,141910.000000,3,2422487654.000000,2785860802.100000,0.020000,JMD,0.020000,JMD
SALF,Salada Foods Jamaica Ltd.,10/27/2017,MANUFACTURING,Main Market,11.000000,,6.500000,,0.000000,0.000000,9.800000,0.000000,0.000000,9.800000,8.100000,9.500000,0.000000,0.000000,0,103883290.000000,1018056242.000000,0.440000,JMD,,JMD
SGJ,Scotia Group Jamaica Limited,10/27/2017,FINANCE,Main Market,60.000000,,30.020000,,50.000000,49.710000,49.810000,-0.400000,-0.796654,50.000000,50.030000,51.800000,139016.000000,6923696.000000,6,3111572984.000000,154987450333.040000,1.680000,JMD,1.800000,JMD
SEP,Seprod Limited,10/27/2017,MANUFACTURING,Main Market,45.100000,,24.020000,,0.000000,0.000000,30.000000,0.000000,0.000000,30.000000,28.600000,29.990000,0.000000,0.000000,0,516397918.000000,15491937540.000000,3.230000,JMD,0.600000,JMD
SVL,Supreme Ventures Limited,10/27/2017,OTHER,Main Market,13.000000,,4.500000,,12.000000,11.990000,11.990000,0.000000,0.000000,12.000000,11.990000,12.000000,45257.000000,542703.500000,7,2637254926.000000,31620686562.740000,0.370000,JMD,0.390000,JMD
PROVEN,Proven Investments Limited USD,10/27/2017,FINANCE,USD Market,0.260000,,0.021875,,0.235000,0.235000,0.235000,0.000000,0.000000,0.235000,0.230000,0.235000,156614.000000,36804.290000,3,625307963.000000,146947371.305000,0.007400,USD,0.001500,USD
AMG,AMG Packaging  & Paper Company Limited,10/27/2017,MANUFACTURING,Junior Market,24.400000,,2.850000,,3.500000,3.490000,3.490000,-0.010000,-0.285714,3.500000,3.480000,3.500000,5564.000000,19442.870000,4,511894285.000000,1786511054.650000,0.380000,JMD,0.420000,JMD
